序號,位  置 （單位CM，全圍計）,容忍度
1,胸 圍,+/-  1.5
2,前胸寬,+/- 1
3,後背寬,+/-  1
4,腳 圍,+/-  1.5
5,肩寬,+/-  0.5
6,後中長,+/- 1
7,袖 長 (由袖頂至袖口),+/-  0.5
8,袖口闊,+/-  0.5
9,袖口闊（羅紋加尼龍絲）,+/-  0.3
10,雞英高/後領高,0
11,全夾 圈,+/- 1
12,夾直,± 0.5
13,領圍,0
14,領闊,+/- 0.6
15,橫領長/直領高,0
16,前領深,+/-  0.6
17,後領深,0
18,腳高,+/- 0.3
19,帽高,+/-  0.6
20,帽闊,+/- 0.6
21,帽腳,0
22,腳闊（加橡筋）,0
23,腳闊（羅紋加尼龍絲）,0
