序號,疵點,允差
1,破洞,不接受
2,撕裂,不接受
3,斷拉架,不接受
4,斷紗,不接受
5,抽紗,不接受
6,雜紗,不接受
7,色紗,不接受
8,勾紗,不接受
9,粗紗,不接受
10,毛粒,不接受
11,死棉,不接受
12,布痕,不接受
13,刮花痕,不接受
14,起橫,不接受
