序號,疵點,允差
1,打褶,不接受
2,起皺,不接受
3,容缩不均,不接受
4,起扭,不接受
5,起谷,不接受
6,起山,不接受
7,不垂直,不接受
8,傾斜,不接受
9,彎曲,不接受
10,漏針,不接受
11,左右不對稱,不接受
12,長短,不接受
13,高低,不接受
14,駁線,不接受
15,回針不良,不接受
16,落坑,不接受
17,雙針不均,不接受
18,反光,不接受
19,止口不均,不接受
20,面露暗線,不接受
21,十字位不對,不接受
22,褲頭丈根車死,
23,鈒骨飛止口,
24,拉鍊頂露窿,不接受
25,散口,不接受
26,爆口,不接受
27,披損,不接受
28,哨牙,不接受
29,卷邊,不接受
30,藏子口,不接受
31,露子口,不接受
32,扭髀,不接受
33,鈕牌間線欠順,
34,鈕牌起谷,
35,錯線（打棗/鳳眼/鈕門 ）,
36,棗（漏/散）,不接受
37,鈕眼散口,不接受
38,位置差異,不接受
39,起珠,不接受
40,斷線,不接受
41,跳線,不接受
42,針步疏密不均,不接受
43,朴脫落,不接受
44,朴起泡,不接受
45,朴膠外滲,不接受
46,錯/漏（織帶/花邊/橡根）,不接受
47,散邊（織帶/花邊/橡根）,不接受
48,破損（織帶/花邊/橡根）,不接受
49,鬆脫（織帶/花邊/橡根）,不接受
50,落坑（織帶/花邊/橡根）,不接受
51,沒有彈力（織帶/花邊/橡根）,不接受
