序號,疵點,允差
1,錯/漏/鬆脫,不接受
2,歪斜,不接受
3,色差,不接受
4,掉色,不接受
5,錯色,不接受
6,開裂,不接受
7,異味,不接受
8,漏印,不接受
9,重影,不接受
10,透底,不接受
11,粘手,不接受
12,牙邊,不接受
13,滲色,不接受
14,沾毛塵,不接受
15,沙眼,不接受
16,昇華,不接受
17,位置偏差,不接受
