序號,疵點,允差
1,洗水顏色與色辦不符,不接受
2,級色,不接受
3,色差,不接受
4,手感,不接受
5,水痕,不接受
6,異味,不接受
7,顏色不均,不接受
8,褪色,不接受
9,氧化,不接受
10,膠針孔,未造成斷紗者接受
11,起球,不接受
12,石頭沙粒,不接受
