序號,疵點,允差
1,錯（印花/繡花/珠片）,不接受
2,漏（印花/繡花/珠片）,不接受
3,鬆脫（印花/繡花/珠片）,不接受
4,歪斜,不接受
5,色差,不接受
6,掉色,不接受
7,錯色,不接受
8,開裂,不接受
9,異味,不接受
10,漏印,不接受
11,重影,不接受
12,透底,不接受
13,粘手,不接受
14,牙邊,不接受
15,滲色,不接受
16,沾毛塵,不接受
17,沙眼,不接受
18,昇華,不接受
19,位置偏差,不接受
