序號,疵點,允差
1,單毛,不接受
2,斷毛,不接受
3,粗幼毛,不接受
4,花毛,不接受
5,毛損,不接受
6,毛球,不接受
7,漏針,不接受
8,針孔,不接受
9,補痕,不接受
10,破洞,不接受
11,撕裂,不接受
12,斷拉架,不接受
13,斷紗,不接受
14,抽紗,不接受
15,雜紗,不接受
16,色紗,不接受
17,勾紗,不接受
18,粗紗,不接受
19,毛粒,不接受
20,死棉,不接受
21,布痕,不接受
22,刮花痕,不接受
23,起橫,不接受
